3.504,1706,116.8,0
3.507,1562,116.9,0
3.51,1526,117,0
3.513,1648,117.1,0
3.516,1600,117.2,0
3.519,1606,117.3,0
3.522,1570,117.4,0
3.525,1598,117.5,0
3.528,1496,117.6,0
3.531,1552,117.7,0
3.534,1538,117.8,0
3.537,1562,117.9,0
3.54,1422,118,0
3.543,1486,118.1,0
3.546,1490,118.2,0
3.549,1590,118.3,0
3.552,1464,118.4,0
3.555,1592,118.5,0
3.558,1592,118.6,0
3.561,1544,118.7,0
3.564,1600,118.8,0
3.567,1620,118.9,0
3.57,1622,119,0
3.573,1570,119.1,0
3.576,1662,119.2,0
3.579,1564,119.3,0
3.582,1630,119.4,0
3.585,1458,119.5,0
3.588,1614,119.6,0
3.591,1670,119.7,0
3.594,1668,119.8,0
3.597,1568,119.9,0
3.6,1586,120,0
3.603,1540,120.1,0
3.606,1520,120.2,0
3.609,1686,120.3,0
3.612,1624,120.4,0
3.615,1712,120.5,0
3.618,1684,120.6,0
3.621,1676,120.7,0
3.624,1712,120.8,0
3.627,1518,120.9,0
3.63,1646,121,0
3.633,1698,121.1,0
3.636,1570,121.2,0
3.639,1678,121.3,0
3.642,1686,121.4,0
3.645,1638,121.5,0
3.648,1770,121.6,0
3.651,1670,121.7,0
3.654,1710,121.8,0
3.657,1732,121.9,0
3.66,1692,122,0
3.663,1698,122.1,0
3.666,1674,122.2,0
3.669,1756,122.3,0
3.672,1700,122.4,0
3.675,1750,122.5,0
3.678,1740,122.6,0
3.681,1758,122.7,0
3.684,1704,122.8,0
3.687,1746,122.9,0
3.69,1748,123,0
3.693,1756,123.1,0
3.696,1782,123.2,0
3.699,1806,123.3,0
3.702,1852,123.4,0
3.705,1734,123.5,0
3.708,1714,123.6,0
3.711,1822,123.7,0
3.714,1912,123.8,0
3.717,1850,123.9,0
3.72,1766,124,0
3.723,1860,124.1,0
3.726,1838,124.2,0
3.729,1784,124.3,0
3.732,1868,124.4,0
3.735,1840,124.5,0
3.738,1848,124.6,0
3.741,1914,124.7,0
3.744,1890,124.8,0
3.747,1820,124.9,0
3.75,1862,125,0
3.753,1818,125.1,0
3.756,1914,125.2,0
3.759,1858,125.3,0
3.762,1732,125.4,0
3.765,1894,125.5,0
3.768,1840,125.6,0
3.771,1902,125.7,0
3.774,1832,125.8,0
3.777,1828,125.9,0
3.78,1760,126,0
3.783,1788,126.1,0
3.786,1900,126.2,0
3.789,1726,126.3,0
3.792,1846,126.4,0
3.795,1672,126.5,0
3.798,1718,126.6,0
3.801,1752,126.7,0
3.804,1708,126.8,0
3.807,1686,126.9,0
3.81,1688,127,0
3.813,1620,127.1,0
3.816,1754,127.2,0
3.819,1650,127.3,0
3.822,1622,127.4,0
3.825,1710,127.5,0
3.828,1576,127.6,0
3.831,1534,127.7,0
3.834,1564,127.8,0
3.837,1578,127.9,0
3.84,1688,128,0
3.843,1606,128.1,0
3.846,1554,128.2,0
3.849,1600,128.3,0
3.852,1634,128.4,0
3.855,1466,128.5,0
3.858,1488,128.6,0
3.861,1502,128.7,0
3.864,1514,128.8,0
3.867,1440,128.9,0
3.87,1458,129,0
3.873,1448,129.1,0
3.876,1420,129.2,0
3.879,1400,129.3,0
3.882,1436,129.4,0
3.885,1480,129.5,0
3.888,1442,129.6,0
3.891,1440,129.7,0
3.894,1510,129.8,0
3.897,1370,129.9,0
3.9,1322,130,0
3.903,1372,130.1,0
3.906,1278,130.2,0
3.909,1374,130.3,0
3.912,1384,130.4,0
3.915,1450,130.5,0
3.918,1274,130.6,0
3.921,1346,130.7,0
3.924,1242,130.8,0
3.927,1330,130.9,0
3.93,1240,131,0
3.933,1128,131.1,0
3.936,1314,131.2,0
3.939,1178,131.3,0
3.942,1198,131.4,0
3.945,1176,131.5,0
3.948,1256,131.6,0
3.951,1196,131.7,0
3.954,1282,131.8,0
3.957,1268,131.9,0
3.96,1164,132,0
3.963,1222,132.1,0
3.966,1056,132.2,0
3.969,1088,132.3,0
3.972,1190,132.4,0
3.975,1174,132.5,0
3.978,1142,132.6,0
3.981,1118,132.7,0
3.984,1110,132.8,0
3.987,1070,132.9,0
3.99,1116,133,0
3.993,1114,133.1,0
3.996,1154,133.2,0
3.999,304,133.3,0
 , ,133.4,0
 , ,133.5,0
 , ,133.6,0
 , ,133.7,0
 , ,133.8,0
 , ,133.9,0
 , ,134,0
 , ,134.1,0
 , ,134.2,0
 , ,134.3,0
 , ,134.4,0
 , ,134.5,0
 , ,134.6,0
 , ,134.7,0
 , ,134.8,0
 , ,134.9,0
 , ,135,0
 , ,135.1,0
 , ,135.2,0
 , ,135.3,0
 , ,135.4,0
 , ,135.5,0
 , ,135.6,0
 , ,135.7,0
 , ,135.8,0
 , ,135.9,0
 , ,136,0
 , ,136.1,0
 , ,136.2,0
 , ,136.3,0
 , ,136.4,0
 , ,136.5,0
 , ,136.6,0
 , ,136.7,0
 , ,136.8,0
 , ,136.9,0
 , ,137,0
 , ,137.1,0
 , ,137.2,0
 , ,137.3,0
 , ,137.4,0
 , ,137.5,0
 , ,137.6,0
 , ,137.7,0
 , ,137.8,0
 , ,137.9,0
 , ,138,0
 , ,138.1,0
 , ,138.2,0
 , ,138.3,0
 , ,138.4,0
 , ,138.5,0
 , ,138.6,0
 , ,138.7,0
 , ,138.8,0
 , ,138.9,0
 , ,139,0
 , ,139.1,0
 , ,139.2,0
 , ,139.3,0
 , ,139.4,0
 , ,139.5,0
 , ,139.6,0
 , ,139.7,0
 , ,139.8,0
 , ,139.9,0
 , ,140,0
 , ,140.1,0
 , ,140.2,0
 , ,140.3,0
 , ,140.4,0
 , ,140.5,0
 , ,140.6,0
 , ,140.7,0
 , ,140.8,0
 , ,140.9,0
 , ,141,0
 , ,141.1,0
 , ,141.2,0
 , ,141.3,0
 , ,141.4,0
 , ,141.5,0
 , ,141.6,0
 , ,141.7,0
 , ,141.8,0
 , ,141.9,0
 , ,142,0
 , ,142.1,0
 , ,142.2,0
 , ,142.3,0
 , ,142.4,0
 , ,142.5,0
 , ,142.6,0
 , ,142.7,0
 , ,142.8,0
 , ,142.9,0
 , ,143,0
 , ,143.1,0
 , ,143.2,0
 , ,143.3,0
 , ,143.4,0
 , ,143.5,0
 , ,143.6,0
 , ,143.7,0
 , ,143.8,0
 , ,143.9,0
 , ,144,0
 , ,144.1,0
 , ,144.2,0
 , ,144.3,0
 , ,144.4,0
 , ,144.5,0
 , ,144.6,0
 , ,144.7,0
 , ,144.8,0
 , ,144.9,0
 , ,145,0
 , ,145.1,0
 , ,145.2,0
 , ,145.3,0
 , ,145.4,1510015067
 , ,145.5,268440298
 , ,145.6,0
 , ,145.7,0
 , ,145.8,0
 , ,145.9,0
 , ,146,0
 , ,146.1,0
 , ,146.2,0
 , ,146.3,0
 , ,146.4,0
 , ,146.5,0
 , ,146.6,0
 , ,146.7,0
 , ,146.8,0
 , ,146.9,0
 , ,147,0
 , ,147.1,0
 , ,147.2,0
 , ,147.3,0
 , ,147.4,0
 , ,147.5,0
 , ,147.6,0
 , ,147.7,0
 , ,147.8,0
 , ,147.9,0
 , ,148,0
 , ,148.1,0
 , ,148.2,0
 , ,148.3,0
 , ,148.4,0
 , ,148.5,0
 , ,148.6,0
 , ,148.7,0
 , ,148.8,0
 , ,148.9,0
 , ,149,0
 , ,149.1,0
 , ,149.2,0
 , ,149.3,0
 , ,149.4,0
 , ,149.5,0
 , ,149.6,0
 , ,149.7,0
 , ,149.8,0
 , ,149.9,0
 , ,150,0
 , ,150.1,0
 , ,150.2,0
 , ,150.3,0
 , ,150.4,0
 , ,150.5,0
 , ,150.6,0
 , ,150.7,0
 , ,150.8,0
 , ,150.9,0
 , ,151,0
 , ,151.1,0
 , ,151.2,0
 , ,151.3,0
 , ,151.4,0
 , ,151.5,0
 , ,151.6,0
 , ,151.7,0
 , ,151.8,0
 , ,151.9,0
 , ,152,0
 , ,152.1,0
 , ,152.2,0
 , ,152.3,0
 , ,152.4,0
 , ,152.5,0
 , ,152.6,0
 , ,152.7,0
 , ,152.8,0
 , ,152.9,0
 , ,153,0
 , ,153.1,0
 , ,153.2,0
 , ,153.3,0
 , ,153.4,0
 , ,153.5,0
 , ,153.6,0
 , ,153.7,0
 , ,153.8,0
 , ,153.9,0
 , ,154,0
 , ,154.1,0
 , ,154.2,0
 , ,154.3,0
 , ,154.4,0
 , ,154.5,0
 , ,154.6,0
 , ,154.7,0
 , ,154.8,0
 , ,154.9,0
 , ,155,0
 , ,155.1,0
 , ,155.2,0
 , ,155.3,0
 , ,155.4,0
 , ,155.5,0
 , ,155.6,0
 , ,155.7,0
 , ,155.8,0
 , ,155.9,0
 , ,156,0
 , ,156.1,0
 , ,156.2,0
 , ,156.3,0
 , ,156.4,0
 , ,156.5,0
 , ,156.6,0
 , ,156.7,0
 , ,156.8,0
 , ,156.9,0
 , ,157,0
 , ,157.1,0
 , ,157.2,0
 , ,157.3,0
 , ,157.4,0
 , ,157.5,0
 , ,157.6,0
 , ,157.7,0
 , ,157.8,0
 , ,157.9,0
 , ,158,0
 , ,158.1,0
 , ,158.2,0
 , ,158.3,0
 , ,158.4,0
 , ,158.5,0
 , ,158.6,0
 , ,158.7,0
 , ,158.8,0
 , ,158.9,0
 , ,159,0
 , ,159.1,0
 , ,159.2,0
 , ,159.3,0
 , ,159.4,0
 , ,159.5,0
 , ,159.6,0
 , ,159.7,0
 , ,159.8,0
 , ,159.9,0
 , ,160,0
 , ,160.1,0
 , ,160.2,0
 , ,160.3,0
 , ,160.4,0
 , ,160.5,0
 , ,160.6,0
 , ,160.7,0
 , ,160.8,0
 , ,160.9,0
 , ,161,0
 , ,161.1,0
 , ,161.2,0
 , ,161.3,0
 , ,161.4,0
 , ,161.5,0
 , ,161.6,0
 , ,161.7,0
 , ,161.8,0
 , ,161.9,0
 , ,162,0
 , ,162.1,0
 , ,162.2,0
 , ,162.3,0
 , ,162.4,0
 , ,162.5,0
 , ,162.6,0
 , ,162.7,0
 , ,162.8,0
 , ,162.9,0
 , ,163,0
 , ,163.1,0
 , ,163.2,0
 , ,163.3,0
 , ,163.4,0
 , ,163.5,0
 , ,163.6,0
 , ,163.7,0
 , ,163.8,0
 , ,163.9,0
 , ,164,0
 , ,164.1,0
 , ,164.2,0
 , ,164.3,0
 , ,164.4,0
 , ,164.5,0
 , ,164.6,0
 , ,164.7,0
 , ,164.8,0
 , ,164.9,0
 , ,165,0
 , ,165.1,0
 , ,165.2,0
 , ,165.3,0
 , ,165.4,0
 , ,165.5,0
 , ,165.6,0
 , ,165.7,0
 , ,165.8,0
 , ,165.9,0
 , ,166,0
 , ,166.1,0
 , ,166.2,0
 , ,166.3,0
 , ,166.4,0
 , ,166.5,0
 , ,166.6,0
 , ,166.7,0
 , ,166.8,0
 , ,166.9,0
 , ,167,0
 , ,167.1,0
 , ,167.2,0
 , ,167.3,0
 , ,167.4,0
 , ,167.5,0
 , ,167.6,0
 , ,167.7,0
 , ,167.8,0
 , ,167.9,0
 , ,168,0
 , ,168.1,0
 , ,168.2,0
 , ,168.3,0
 , ,168.4,0
 , ,168.5,0
 , ,168.6,0
 , ,168.7,0
 , ,168.8,0
 , ,168.9,0
 , ,169,0
 , ,169.1,0
 , ,169.2,0
 , ,169.3,0
 , ,169.4,0
 , ,169.5,0
 , ,169.6,0
 , ,169.7,0
 , ,169.8,0
 , ,169.9,0
 , ,170,0
 , ,170.1,0
 , ,170.2,0
 , ,170.3,0
 , ,170.4,0
 , ,170.5,0
 , ,170.6,0
 , ,170.7,0
 , ,170.8,0
 , ,170.9,0
 , ,171,0
 , ,171.1,0
 , ,171.2,0
 , ,171.3,0
 , ,171.4,0
 , ,171.5,0
 , ,171.6,0
 , ,171.7,0
 , ,171.8,0
 , ,171.9,0
 , ,172,0
 , ,172.1,0
 , ,172.2,0
 , ,172.3,0
 , ,172.4,0
 , ,172.5,0
 , ,172.6,0
 , ,172.7,0
 , ,172.8,0
 , ,172.9,0
 , ,173,0
 , ,173.1,0
 , ,173.2,0
 , ,173.3,0
 , ,173.4,0
 , ,173.5,0
 , ,173.6,0
 , ,173.7,0
 , ,173.8,0
 , ,173.9,0
 , ,174,0
 , ,174.1,0
 , ,174.2,0
 , ,174.3,0
 , ,174.4,0
 , ,174.5,0
 , ,174.6,0
 , ,174.7,0
 , ,174.8,0
 , ,174.9,0
 , ,175,0
 , ,175.1,0
 , ,175.2,0
 , ,175.3,0
 , ,175.4,0
 , ,175.5,0
 , ,175.6,0
 , ,175.7,0
 , ,175.8,0
 , ,175.9,0
 , ,176,0
 , ,176.1,0
 , ,176.2,0
 , ,176.3,0
 , ,176.4,0
 , ,176.5,0
 , ,176.6,0
 , ,176.7,0
 , ,176.8,0
 , ,176.9,0
 , ,177,0
 , ,177.1,0
 , ,177.2,0
 , ,177.3,0
 , ,177.4,0
 , ,177.5,0
 , ,177.6,0
 , ,177.7,0
 , ,177.8,0
 , ,177.9,0
 , ,178,0
 , ,178.1,0
 , ,178.2,0
 , ,178.3,0
 , ,178.4,0
 , ,178.5,0
 , ,178.6,0
 , ,178.7,0
 , ,178.8,0
 , ,178.9,0
 , ,179,0
 , ,179.1,0
 , ,179.2,0
 , ,179.3,0
 , ,179.4,0
 , ,179.5,0
 , ,179.6,0
 , ,179.7,0
 , ,179.8,0
 , ,179.9,0
 , ,180,0
 , ,180.1,0
 , ,180.2,0
 , ,180.3,0
 , ,180.4,0
 , ,180.5,0
 , ,180.6,0
 , ,180.7,0
 , ,180.8,0
 , ,180.9,0
 , ,181,0
 , ,181.1,0
 , ,181.2,0
 , ,181.3,0
 , ,181.4,0
 , ,181.5,0
 , ,181.6,0
 , ,181.7,0
 , ,181.8,1510015067
 , ,181.9,268440129
 , ,182,0
 , ,182.1,0
 , ,182.2,0
 , ,182.3,0
 , ,182.4,0
 , ,182.5,0
 , ,182.6,0
 , ,182.7,0
 , ,182.8,0
 , ,182.9,0
 , ,183,0
 , ,183.1,0
 , ,183.2,0
 , ,183.3,0
 , ,183.4,0
 , ,183.5,0
 , ,183.6,0
 , ,183.7,0
 , ,183.8,0
 , ,183.9,0
 , ,184,0
 , ,184.1,0
 , ,184.2,0
 , ,184.3,0
 , ,184.4,0
 , ,184.5,0
 , ,184.6,0
 , ,184.7,0
 , ,184.8,0
 , ,184.9,0
 , ,185,0
 , ,185.1,0
 , ,185.2,0
 , ,185.3,0
 , ,185.4,0
 , ,185.5,0
 , ,185.6,0
 , ,185.7,0
 , ,185.8,0
 , ,185.9,0
 , ,186,0
 , ,186.1,0
 , ,186.2,0
 , ,186.3,0
 , ,186.4,0
 , ,186.5,0
 , ,186.6,0
 , ,186.7,0
 , ,186.8,0
 , ,186.9,0
 , ,187,0
 , ,187.1,0
 , ,187.2,0
 , ,187.3,0
 , ,187.4,0
 , ,187.5,0
 , ,187.6,0
 , ,187.7,0
 , ,187.8,0
 , ,187.9,0
 , ,188,0
 , ,188.1,0
 , ,188.2,0
 , ,188.3,0
 , ,188.4,0
 , ,188.5,0
 , ,188.6,0
 , ,188.7,0
 , ,188.8,0
 , ,188.9,0
 , ,189,0
 , ,189.1,0
 , ,189.2,0
 , ,189.3,0
 , ,189.4,0
 , ,189.5,0
 , ,189.6,0
 , ,189.7,0
 , ,189.8,0
 , ,189.9,0
 , ,190,0
 , ,190.1,0
 , ,190.2,0
 , ,190.3,0
 , ,190.4,0
 , ,190.5,0
 , ,190.6,0
 , ,190.7,0
 , ,190.8,0
 , ,190.9,0
 , ,191,0
 , ,191.1,0
 , ,191.2,0
 , ,191.3,0
 , ,191.4,0
 , ,191.5,0
 , ,191.6,0
 , ,191.7,0
 , ,191.8,0
 , ,191.9,0
 , ,192,0
 , ,192.1,0
 , ,192.2,0
 , ,192.3,0
 , ,192.4,0
 , ,192.5,0
 , ,192.6,0
 , ,192.7,0
 , ,192.8,0
 , ,192.9,0
 , ,193,0
 , ,193.1,0
 , ,193.2,0
 , ,193.3,0
 , ,193.4,0
 , ,193.5,0
 , ,193.6,0
 , ,193.7,0
 , ,193.8,0
 , ,193.9,0
 , ,194,0
 , ,194.1,0
 , ,194.2,0
 , ,194.3,0
 , ,194.4,0
 , ,194.5,0
 , ,194.6,0
 , ,194.7,0
 , ,194.8,0
 , ,194.9,0
 , ,195,0
 , ,195.1,0
 , ,195.2,0
 , ,195.3,0
 , ,195.4,0
 , ,195.5,0
 , ,195.6,0
 , ,195.7,0
 , ,195.8,0
 , ,195.9,0
 , ,196,0
 , ,196.1,0
 , ,196.2,0
 , ,196.3,0
 , ,196.4,0
 , ,196.5,0
 , ,196.6,0
 , ,196.7,0
 , ,196.8,0
 , ,196.9,0
 , ,197,0
 , ,197.1,0
 , ,197.2,0
 , ,197.3,0
 , ,197.4,0
 , ,197.5,0
 , ,197.6,0
 , ,197.7,0
 , ,197.8,0
 , ,197.9,0
 , ,198,0
 , ,198.1,0
 , ,198.2,0
 , ,198.3,0
 , ,198.4,0
 , ,198.5,0
 , ,198.6,0
 , ,198.7,0
 , ,198.8,0
 , ,198.9,0
 , ,199,0
 , ,199.1,0
 , ,199.2,0
 , ,199.3,0
 , ,199.4,0
 , ,199.5,0
 , ,199.6,0
 , ,199.7,0
 , ,199.8,0
 , ,199.9,0
 , ,200,0
 , ,200.1,0
 , ,200.2,0
 , ,200.3,0
 , ,200.4,0
 , ,200.5,0
 , ,200.6,0
 , ,200.7,0
 , ,200.8,0
 , ,200.9,0
 , ,201,0
 , ,201.1,0
 , ,201.2,0
 , ,201.3,0
 , ,201.4,0
 , ,201.5,0
 , ,201.6,0
 , ,201.7,0
 , ,201.8,0
 , ,201.9,0
 , ,202,0
 , ,202.1,0
 , ,202.2,0
 , ,202.3,0
 , ,202.4,0
 , ,202.5,0
 , ,202.6,0
 , ,202.7,0
 , ,202.8,0
 , ,202.9,0
 , ,203,0
 , ,203.1,0
 , ,203.2,0
 , ,203.3,0
 , ,203.4,0
 , ,203.5,0
 , ,203.6,0
 , ,203.7,0
 , ,203.8,0
 , ,203.9,0
 , ,204,0
 , ,204.1,0
 , ,204.2,0
 , ,204.3,0
 , ,204.4,0
 , ,204.5,0
 , ,204.6,0
 , ,204.7,0
 , ,204.8,0
 , ,204.9,0
 , ,205,0
 , ,205.1,0
 , ,205.2,0
 , ,205.3,0
 , ,205.4,0
 , ,205.5,0
 , ,205.6,0
 , ,205.7,0
 , ,205.8,0
 , ,205.9,0
 , ,206,0
 , ,206.1,0
 , ,206.2,0
 , ,206.3,0
 , ,206.4,0
 , ,206.5,0
 , ,206.6,0
 , ,206.7,0
 , ,206.8,0
 , ,206.9,0
 , ,207,0
 , ,207.1,0
 , ,207.2,0
 , ,207.3,0
 , ,207.4,0
 , ,207.5,0
 , ,207.6,0
 , ,207.7,0
 , ,207.8,0
 , ,207.9,0
 , ,208,0
 , ,208.1,0
 , ,208.2,0
 , ,208.3,0
 , ,208.4,0
 , ,208.5,0
 , ,208.6,0
 , ,208.7,0
 , ,208.8,0
 , ,208.9,0
 , ,209,0
 , ,209.1,0
 , ,209.2,0
 , ,209.3,0
 , ,209.4,0
 , ,209.5,0
 , ,209.6,0
 , ,209.7,0
 , ,209.8,0
 , ,209.9,0
 , ,210,0
 , ,210.1,0
 , ,210.2,0
 , ,210.3,0
 , ,210.4,0
 , ,210.5,0
 , ,210.6,0
 , ,210.7,0
 , ,210.8,0
 , ,210.9,0
 , ,211,0
 , ,211.1,0
 , ,211.2,0
 , ,211.3,0
 , ,211.4,0
 , ,211.5,0
 , ,211.6,0
 , ,211.7,0
 , ,211.8,0
 , ,211.9,0
 , ,212,0
 , ,212.1,0
 , ,212.2,0
 , ,212.3,0
 , ,212.4,0
 , ,212.5,0
 , ,212.6,0
 , ,212.7,0
 , ,212.8,0
 , ,212.9,0
 , ,213,0
 , ,213.1,0
 , ,213.2,0
 , ,213.3,0
 , ,213.4,0
 , ,213.5,0
 , ,213.6,0
 , ,213.7,0
 , ,213.8,0
 , ,213.9,0
 , ,214,0
 , ,214.1,0
 , ,214.2,0
 , ,214.3,0
 , ,214.4,0
 , ,214.5,0
 , ,214.6,0
 , ,214.7,0
 , ,214.8,0
 , ,214.9,0
 , ,215,0
 , ,215.1,0
 , ,215.2,0
 , ,215.3,0
 , ,215.4,0
 , ,215.5,0
 , ,215.6,0
 , ,215.7,0
 , ,215.8,0
 , ,215.9,0
 , ,216,0
 , ,216.1,0
 , ,216.2,0
 , ,216.3,0
 , ,216.4,0
 , ,216.5,0
 , ,216.6,0
 , ,216.7,0
 , ,216.8,0
 , ,216.9,0
 , ,217,0
 , ,217.1,0
 , ,217.2,0
 , ,217.3,0
 , ,217.4,0
 , ,217.5,0
 , ,217.6,0
 , ,217.7,0
 , ,217.8,0
 , ,217.9,0
 , ,218,0
 , ,218.1,0
 , ,218.2,1510015067
 , ,218.3,268439972
 , ,218.4,0
 , ,218.5,0
 , ,218.6,0
 , ,218.7,0
 , ,218.8,0
 , ,218.9,0
 , ,219,0
 , ,219.1,0
 , ,219.2,0
 , ,219.3,0
 , ,219.4,0
 , ,219.5,0
 , ,219.6,0
 , ,219.7,0
 , ,219.8,0
 , ,219.9,0
 , ,220,0
 , ,220.1,0
 , ,220.2,0
 , ,220.3,0
 , ,220.4,0
 , ,220.5,0
 , ,220.6,0
 , ,220.7,0
 , ,220.8,0
 , ,220.9,0
 , ,221,0
 , ,221.1,0
 , ,221.2,0
 , ,221.3,0
 , ,221.4,0
 , ,221.5,0
 , ,221.6,0
 , ,221.7,0
 , ,221.8,0
 , ,221.9,0
 , ,222,0
 , ,222.1,0
 , ,222.2,0
 , ,222.3,0
 , ,222.4,0
 , ,222.5,0
 , ,222.6,0
 , ,222.7,0
 , ,222.8,0
 , ,222.9,0
 , ,223,0
 , ,223.1,0
 , ,223.2,0
 , ,223.3,0
 , ,223.4,0
 , ,223.5,0
 , ,223.6,0
 , ,223.7,0
 , ,223.8,0
 , ,223.9,0
 , ,224,0
 , ,224.1,0
 , ,224.2,0
 , ,224.3,0
 , ,224.4,0
 , ,224.5,0
 , ,224.6,0
 , ,224.7,0
 , ,224.8,0
 , ,224.9,0
 , ,225,0
 , ,225.1,0
 , ,225.2,0
 , ,225.3,0
 , ,225.4,0
 , ,225.5,0
 , ,225.6,0
 , ,225.7,0
 , ,225.8,0
 , ,225.9,0
 , ,226,0
 , ,226.1,0
 , ,226.2,0
 , ,226.3,0
 , ,226.4,0
 , ,226.5,0
 , ,226.6,0
 , ,226.7,0
 , ,226.8,0
 , ,226.9,0
 , ,227,0
 , ,227.1,0
 , ,227.2,0
 , ,227.3,0
 , ,227.4,0
 , ,227.5,0
 , ,227.6,0
 , ,227.7,0
 , ,227.8,0
 , ,227.9,0
 , ,228,0
 , ,228.1,0
 , ,228.2,0
 , ,228.3,0
 , ,228.4,0
 , ,228.5,0
 , ,228.6,0
 , ,228.7,0
 , ,228.8,0
 , ,228.9,0
 , ,229,0
 , ,229.1,0
 , ,229.2,0
 , ,229.3,0
 , ,229.4,0
 , ,229.5,0
 , ,229.6,0
 , ,229.7,0
 , ,229.8,0
 , ,229.9,0
 , ,230,0
 , ,230.1,0
 , ,230.2,0
 , ,230.3,0
 , ,230.4,0
 , ,230.5,0
 , ,230.6,0
 , ,230.7,0
 , ,230.8,0
 , ,230.9,0
 , ,231,0
 , ,231.1,0
 , ,231.2,0
 , ,231.3,0
 , ,231.4,0
 , ,231.5,0
 , ,231.6,0
 , ,231.7,0
 , ,231.8,0
 , ,231.9,0
 , ,232,0
 , ,232.1,0
 , ,232.2,0
 , ,232.3,0
 , ,232.4,0
 , ,232.5,0
 , ,232.6,0
 , ,232.7,0
 , ,232.8,0
 , ,232.9,0
 , ,233,0
 , ,233.1,0
 , ,233.2,0
 , ,233.3,0
 , ,233.4,0
 , ,233.5,0
 , ,233.6,0
 , ,233.7,0
 , ,233.8,0
 , ,233.9,0
 , ,234,0
 , ,234.1,0
 , ,234.2,0
 , ,234.3,0
 , ,234.4,0
 , ,234.5,0
 , ,234.6,0
 , ,234.7,0
 , ,234.8,0
 , ,234.9,0
 , ,235,0
 , ,235.1,0
 , ,235.2,0
 , ,235.3,0
 , ,235.4,0
 , ,235.5,0
 , ,235.6,0
 , ,235.7,0
 , ,235.8,0
 , ,235.9,0
 , ,236,0
 , ,236.1,0
 , ,236.2,0
 , ,236.3,0
 , ,236.4,0
 , ,236.5,0
 , ,236.6,0
 , ,236.7,0
 , ,236.8,0
 , ,236.9,0
 , ,237,0
 , ,237.1,0
 , ,237.2,0
 , ,237.3,0
 , ,237.4,0
 , ,237.5,0
 , ,237.6,0
 , ,237.7,0
 , ,237.8,0
 , ,237.9,0
 , ,238,0
 , ,238.1,0
 , ,238.2,0
 , ,238.3,0
 , ,238.4,0
 , ,238.5,0
 , ,238.6,0
 , ,238.7,0
 , ,238.8,0
 , ,238.9,0
 , ,239,0
 , ,239.1,0
 , ,239.2,0
 , ,239.3,0
 , ,239.4,0
 , ,239.5,0
 , ,239.6,0
 , ,239.7,0
 , ,239.8,0
 , ,239.9,0
 , ,240,0
 , ,240.1,0
 , ,240.2,0
 , ,240.3,0
 , ,240.4,0
 , ,240.5,0
 , ,240.6,0
 , ,240.7,0
 , ,240.8,0
 , ,240.9,0
 , ,241,0
 , ,241.1,0
 , ,241.2,0
 , ,241.3,0
 , ,241.4,0
 , ,241.5,0
 , ,241.6,0
 , ,241.7,0
 , ,241.8,0
 , ,241.9,0
 , ,242,0
 , ,242.1,0
 , ,242.2,0
 , ,242.3,0
 , ,242.4,0
 , ,242.5,0
 , ,242.6,0
 , ,242.7,0
 , ,242.8,0
 , ,242.9,0
 , ,243,0
 , ,243.1,0
 , ,243.2,0
 , ,243.3,0
 , ,243.4,0
 , ,243.5,0
 , ,243.6,0
 , ,243.7,0
 , ,243.8,0
 , ,243.9,0
 , ,244,0
 , ,244.1,0
 , ,244.2,0
 , ,244.3,0
 , ,244.4,0
 , ,244.5,0
 , ,244.6,0
 , ,244.7,0
 , ,244.8,0
 , ,244.9,0
 , ,245,0
 , ,245.1,0
 , ,245.2,0
 , ,245.3,0
 , ,245.4,0
 , ,245.5,0
 , ,245.6,0
 , ,245.7,0
 , ,245.8,0
 , ,245.9,0
 , ,246,0
 , ,246.1,0
 , ,246.2,0
 , ,246.3,0
 , ,246.4,0
 , ,246.5,0
 , ,246.6,0
 , ,246.7,0
 , ,246.8,0
 , ,246.9,0
 , ,247,0
 , ,247.1,0
 , ,247.2,0
 , ,247.3,0
 , ,247.4,0
 , ,247.5,0
 , ,247.6,0
 , ,247.7,0
 , ,247.8,0
 , ,247.9,0
 , ,248,0
 , ,248.1,0
 , ,248.2,0
 , ,248.3,0
 , ,248.4,0
 , ,248.5,0
 , ,248.6,0
 , ,248.7,0
 , ,248.8,0
 , ,248.9,0
 , ,249,0
 , ,249.1,0
 , ,249.2,0
 , ,249.3,0
 , ,249.4,0
 , ,249.5,0
 , ,249.6,0
 , ,249.7,0
 , ,249.8,0
 , ,249.9,0
 , ,250,0
 , ,250.1,0
 , ,250.2,0
 , ,250.3,0
 , ,250.4,0
 , ,250.5,0
 , ,250.6,0
 , ,250.7,0
 , ,250.8,0
 , ,250.9,0
 , ,251,0
 , ,251.1,0
 , ,251.2,0
 , ,251.3,0
 , ,251.4,0
 , ,251.5,0
 , ,251.6,0
 , ,251.7,0
 , ,251.8,0
 , ,251.9,0
 , ,252,0
 , ,252.1,0
 , ,252.2,0
 , ,252.3,0
 , ,252.4,0
 , ,252.5,0
 , ,252.6,0
 , ,252.7,0
 , ,252.8,0
 , ,252.9,0
 , ,253,0
 , ,253.1,0
 , ,253.2,0
 , ,253.3,0
 , ,253.4,0
 , ,253.5,0
 , ,253.6,0
 , ,253.7,0
 , ,253.8,0
 , ,253.9,0
 , ,254,0
 , ,254.1,0
 , ,254.2,0
 , ,254.3,0
